"","GEOID","elevation"
"282","3646239",1377.95
"283","3631830",347.77
"284","3660829",390.42
"285","3755900",797.24
"286","3708420",75.46
"287","3709760",137.8
"288","3713280",2867.45
"289","3752400",141.08
"290","3862540",1266.4
"291","3847140",1456.69
"292","3815140",1896.33
"293","3847100",1141.73
"294","3836540",2575.46
"295","3901000",1017.06
"296","3906278",780.84
"297","3926306",580.71
"298","3984182",980.97
"299","3930506",1102.36
"300","4006100",1023.62
"301","4002500",1601.05
"302","4034650",1243.44
"303","4033700",1148.29
"304","4176250",4025.59
"305","4206296",666.01
"306","4205312",849.74
"307","4244416",767.72
"308","4266232",1604.33
"309","4203272",734.91
"310","4218192",994.09
"311","4230600",971.13
"312","4503385",26.25
"313","4562620",275.59
"314","4638860",1942.26
"315","4621820",1761.81
"316","4610620",1292.65
"317","4721740",1686.35
"318","4819000",475.72
"319","4876816",597.11
"320","4877620",688.98
"321","4869020",42.65
"322","4876348",967.85
"323","4872080",557.74
"324","4854192",124.67
"325","4863788",328.08
"326","4851792",380.58
"327","4920340",5659.45
"328","5141656",49.21
"329","5345320",2352.36
"330","5356240",1135.17
"331","5357465",2572.18
"332","5405836",964.57
"333","5556350",1128.61
"334","5528450",892.39
"335","5539750",853.02
"336","5571975",958.01
"337","5533225",1223.75
"338","1709356",734.91
"339","1718251",410.1
"340","1708875",370.73
"341","1703454",439.63
"342","1853478",971.13
"343","1938415",1450.13
"344","1939225",1033.46
"345","2009675",1374.67
"346","2112358",1118.77
"347","2652920",800.52
"348","2739716",1272.97
"349","2764156",1256.56
"350","2700892",1322.18
"351","3015550",4885.17
"352","3118825",1830.71
"353","3675627",1348.43
"354","3881620",1574.8
"355","3885540",2175.2
"356","3869140",2070.21
"357","4044300",1154.86
"358","4021250",1128.61
"359","4211616",1942.26
"360","4133250",1847.11
"361","4624620",1709.32
"362","4869764",3677.82
"363","5323340",2677.17
"364","5561925",728.35
"365","0520920",242.78
"366","1702531",547.9
"367","1965550",1105.64
"368","1904960",1118.77
"369","2004900",1322.18
"370","2722094",1227.03
"371","2945020",935.04
"372","3150895",1624.02
"373","3626880",459.32
"374","3827060",1125.33
"375","3868540",2309.71
"376","4149150",3248.03
"377","4534225",662.73
"378","4811656",620.08
"379","5611700",4019.03
"380","0659920",551.18
"381","1749893",636.48
"382","1735307",695.54
"383","4075000",728.35
"384","2669520",629.92
"385","2454275",82.02
"386","2700316",879.27
"387","3744320",13.12
"388","0164656",682.41
"389","0171040",285.43
"390","4223152",1440.29
"391","4573555",557.74
"392","0151264",580.71
"393","0260750",104.99
"394","0214330",173.88
"395","0500940",206.69
"396","0570760",200.13
"397","0525180",288.71
"398","0533910",206.69
"399","0524760",308.4
"400","0685684",131.23
"401","0671806",1840.55
"402","0848115",7139.11
"403","1243975",39.37
"404","1250750",111.55
"405","1200375",104.99
"406","0530700",984.25
"407","1357260",1230.31
"408","1383420",938.32
"409","1342184",777.56
"410","1379164",42.65
"411","1341344",160.76
"412","1608830",2742.78
"413","1684790",3526.9
"414","1664090",4455.38
"415","1685420",5672.57
"416","1748632",656.17
"417","1739077",347.77
"418","1762848",754.59
"419","1742171",675.85
"420","1773287",921.92
"421","1845774",456.04
"422","1840302",688.98
"423","1848402",839.9
"424","1864512",574.15
"425","1857132",980.97
"426","1968700",764.44
"427","1924780",1302.49
"428","1954120",738.19
"429","1911530",1108.92
"430","1969465",1026.9
"431","1944355",1230.31
"432","1932565",1394.36
"433","1928290",1286.09
"434","2026750",1545.28
"435","2027125",2683.73
"436","2058475",1197.51
"437","2158836",380.58
"438","2153328",649.61
"439","2154660",659.45
"440","2127262",725.07
"441","2136374",649.61
"442","2153616",462.6
"443","2166216",416.67
"444","2215465",52.49
"445","2233735",259.19
"446","2639720",935.04
"447","2658080",803.81
"448","2660580",895.67
"449","2636720",1243.44
"450","2616440",961.29
"451","2649540",688.98
"452","2734928",1227.03
"453","2744476",935.04
"454","2703718",1099.08
"455","2741462",908.79
"456","2736530",1433.73
"457","2723678",1033.46
"458","2756698",1263.12
"459","2871480",449.48
"460","2843840",88.58
"461","2865680",170.6
"462","2904132",390.42
"463","2980314",551.18
"464","2976660",853.02
"465","2926920",902.23
"466","2920296",331.36
"467","2978424",1253.28
"468","2929962",1105.64
"469","2967196",751.31
"470","2956360",1079.4
"471","2962210",974.41
"472","3130730",1824.15
"473","3149915",1591.21
"474","3117950",2890.42
"475","3133985",3146.33
"476","3431320",436.35
"477","3583340",6263.12
"478","3639309",85.3
"479","3618047",1377.95
"480","3655376",1105.64
"481","3626704",183.73
"482","3647108",764.44
"483","3627331",1715.88
"484","3702140",2142.39
"485","3761200",839.9
"486","3734200",26.25
"487","3703840",22.97
"488","3866020",2486.88
"489","3832300",885.83
"490","3812460",2319.55
"491","3943904",613.52
"492","3961056",977.69
"493","3969470",600.39
"494","3916056",1026.9
"495","3920212",761.15
"496","3942518",1053.15
"497","4063900",1479.66
"498","4062900",1223.75
"499","4002000",1227.03
"500","4013650",606.96
"501","4062550",662.73
"502","4161700",2103.02
"503","4246216",1125.33
"504","4242976",462.6
"505","4255512",396.98
"506","4249944",754.59
"507","4217136",2148.95
"508","4568290",767.72
"509","4526845",505.25
"510","4653220",1479.66
"511","4630140",1889.76
"512","4613420",1289.37
"513","4658180",1876.64
"514","4722920",488.85
"515","4835180",603.67
"516","4829840",666.01
"517","4801636",459.32
"518","4870406",793.96
"519","4849932",1049.87
"520","4830476",439.63
"521","4814260",3776.25
"522","4900760",6404.2
"523","5134176",42.65
"524","5342800",2257.22
"525","5435428",898.95
"526","5569525",918.64
"527","5579475",708.66
"528","5524700",1207.35
"529","5586750",1348.43
"530","1731991",524.93
"531","1757498",567.59
"532","1742938",741.47
"533","1751947",659.45
"534","1823188",839.9
"535","2061275",908.79
"536","1939900",1200.79
"537","1948540",938.32
"538","2079550",2089.9
"539","2044150",1581.36
"540","2174082",518.37
"541","2642240",744.75
"542","2740418",1391.08
"543","2970648",1207.35
"544","3104195",1676.51
"545","3653055",1364.83
"546","3952416",616.8
"547","4012100",1033.46
"548","4129950",1443.57
"549","4229088",1443.57
"550","4651820",1781.5
"551","4854075",3474.41
"552","5171776",948.16
"553","5513175",1499.34
"554","0226760",423.23
"555","1705274",659.45
"556","1851354",994.09
"557","1975405",744.75
"558","1913395",990.81
"559","2060900",3316.93
"560","2158200",725.07
"561","2680820",643.04
"562","2933076",246.06
"563","3124740",2585.3
"564","3616111",1089.24
"565","4665780",1351.71
"566","4827768",538.06
"567","0665000",1174.54
"568","0619990",1309.06
"569","1242400",13.12
"570","1235000",29.53
"571","1753143",469.16
"572","1734332",590.55
"573","2673660",626.64
"574","0236400",2103.02
"575","0159640",744.75
"576","2657100",587.27
"577","2705644",1627.3
"578","3423250",52.49
"579","4277288",32.81
"580","4743640",1233.6
"581","0148808",321.52
"582","0101756",738.19
"583","0176632",144.36
"584","0137096",380.58
"585","0268230",39.37
"586","0471510",1384.51
"587","0545560",311.68
"588","0527730",164.04
"589","0568360",242.78
"590","0607162",246.06
"591","0869700",4097.77
"592","1041700",9.84
"593","1074330",62.34
"594","1227600",141.08
"595","1228275",22.97
"596","1330956",780.84
"597","1340840",816.93
"598","1339524",1112.2
"599","1309544",1033.46
"600","1308956",324.8
"601","1715599",498.69
"602","1723425",774.28
"603","1783349",925.2
"604","1734670",538.06
"605","1768510",721.78
"606","1740091",501.97
"607","1829754",1053.15
"608","1856052",561.02
"609","1845504",508.53
"610","1840518",675.85
"611","1833862",721.78
"612","1847592",879.27
"613","1971940",1194.23
"614","1946155",1125.33
"615","1934680",823.49
"616","1940935",666.01
"617","1970230",698.82
"618","1976620",1141.73
"619","2025150",980.97
"620","2034550",1850.39
"621","2070625",2004.59
"622","2052200",2290.03
"623","2160852",895.67
"624","2131870",626.64
"625","2102044",400.26
"626","2137576",652.89
"627","2169384",544.62
"628","2247315",141.08
"629","2224460",19.69
"630","2651980",833.33
"631","2625780",708.66
"632","2671560",646.33
"633","2663660",738.19
"634","2746024",971.13
"635","2726000",1210.63
"636","2756176",1089.24
"637","2756428",1541.99
"638","2764444",1387.8
"639","2763454",1246.72
"640","2709496",974.41
"641","2708416",1184.38
"642","2805380",213.25
"643","2878480",144.36
"644","2974284",482.28
"645","2936314",813.65
"646","2932824",262.47
"647","2924058",974.41
"648","2959420",994.09
"649","2973870",659.45
"650","3029575",3556.43
"651","3103040",1105.64
"652","3140430",2040.68
"653","3106855",1532.15
"654","3110390",1089.24
"655","3105490",1893.04
"656","3106505",1007.22
"657","3137420",2024.28
"658","3406670",45.93
"659","3522720",4478.35
"660","3667488",1519.03
"661","3620126",1712.6
"662","3665354",1187.66
"663","3654452",1118.77
"664","3665475",341.21
"665","3635155",544.62
"666","3735200",725.07
"667","3762040",55.77
"668","3720840",482.28
"669","3858300",1112.2
"670","3882380",1597.77
"671","3974118",1003.94
"672","3984574",866.14
"673","3956994",1056.43
"674","3927818",748.03
"675","3902316",797.24
"676","3905718",1030.18
"677","4026250",1246.72
"678","4033000",1007.22
"679","4000700",1007.22
"680","4063450",1318.9
"681","4262744",1358.27
"682","4262920",1381.23
"683","4203576",1745.41
"684","4271256",1318.9
"685","4249272",554.46
"686","4247672",1118.77
"687","4264832",45.93
"688","4267304",423.23
"689","4271620",1112.2
"690","4529815",39.37
"691","4550560",282.15
"692","4644020",1729
"693","4602340",1870.08
"694","4641100",3277.56
"695","4741760",948.16
"696","4761520",459.32
"697","4830464",551.18
"698","4866644",547.9
"699","4803768",718.5
"700","4812988",590.55
"701","4811968",830.05
"702","4880188",1266.4
"703","4819984",3572.83
"704","4849992",1463.25
"705","4880296",462.6
"706","4907470",6784.78
"707","4943880",4799.87
"708","5167208",839.9
"709","5320260",908.79
"710","5462332",843.18
"711","5579150",905.51
"712","5568550",793.96
"713","5516375",1099.08
"714","5544625",1095.8
"715","1756536",400.26
"716","1782543",803.81
"717","1755379",882.55
"718","1742756",688.98
"719","1975450",721.78
"720","1968925",1364.83
"721","2034625",1958.66
"722","2003050",1430.45
"723","2156550",531.5
"724","2734136",958.01
"725","2973240",839.9
"726","2951824",613.52
"727","3120610",1459.97
"728","3544420",3067.59
"729","3819820",2043.96
"730","3839580",1893.04
"731","4082000",1312.34
"732","4268328",242.78
"733","4275584",977.69
"734","4606180",1633.86
"735","4873964",2349.08
"736","4808398",3579.4
"737","4806060",13.12
"738","5329710",826.77
"739","1851318",997.38
"740","1973155",1128.61
"741","2056100",2778.87
"742","2008675",2427.82
"743","2728574",984.25
"744","3101290",2260.5
"745","3122185",1023.62
"746","3853780",1633.86
"747","3815100",1302.49
"748","3963996",1236.88
"749","4536655",423.23
"750","4244704",1958.66
"751","5379135",1400.92
"752","0644000",958.01
"753","0658240",442.91
"754","0455000",1305.77
"755","1808092",561.02
"756","1858392",567.59
"757","1857780",669.29
"758","2647180",961.29
"759","0105980",570.87
"760","2743036",725.07
"761","2968942",1079.4
"762","0102428",446.19
"763","3919554",721.78
"764","0103676",977.69
"765","4817000",39.37
"766","0148064",1712.6
"767","5463052",2004.59
"768","0157240",187.01
"769","0153784",177.17
"770","0202080",2171.92
"771","0466820",4665.35
"772","0550030",816.93
"773","0505290",465.88
"774","0562960",390.42
"775","0501030",200.13
"776","0535140",219.82
"777","0500250",633.2
"778","0644826",351.05
"779","0817925",6597.77
