"GEOID","per_gop","per_dem"
"0133424",0.864726982861698,0.127142287764049
"0178204",0.572690395184507,0.416448573671814
"0143744",0.590924995451301,0.38992848045459
"0100820",0.693344932579382,0.289412788168769
"0116768",0.693344932579382,0.289412788168769
"0144344",0.534512264689104,0.457881726563986
"0168160",0.552745080911096,0.433895306938045
"0148712",0.735169388252498,0.252668778942237
"0130640",0.662712173754335,0.327797043256069
"0119216",0.572690395184507,0.416448573671814
"0133448",0.738319496668032,0.24634228062991
"0155992",0.834199550850176,0.155085017645172
"0153256",0.724642820954504,0.261931300030398
"0151000",0.336002985706937,0.650894199053854
"0123032",0.426097444207115,0.557585131717856
"0129704",0.57556270096463,0.418944265809218
"0179344",0.789794223493587,0.203285041985789
"0118976",0.881221476189338,0.106998638025376
"0157048",0.590924995451301,0.38992848045459
"0170536",0.761713728243328,0.22409029987509
"0160372",0.843677612753781,0.145830494617795
"0153472",0.57556270096463,0.418944265809218
"0119912",0.490183486238532,0.50348623853211
"0130760",0.706430164814935,0.279752236155329
"0100100",0.572690395184507,0.416448573671814
"0172408",0.860336558003414,0.132021786846598
"0169672",0.693344932579382,0.289412788168769
"0172672",0.824932421688663,0.165845126411194
"0128408",0.739522307345651,0.254393871113114
"0178120",0.576209223847019,0.417604049493813
"0125216",0.739522307345651,0.254393871113114
"0124280",0.662712173754335,0.327797043256069
"0153208",0.490183486238532,0.50348623853211
"0124616",0.864726982861698,0.127142287764049
"0121952",0.832205110847859,0.157260111694026
"0132704",0.903491669620702,0.0863169088975541
"0148052",0.578609846917666,0.416011584609019
"0157696",0.832205110847859,0.157260111694026
"0131384",0.426097444207115,0.557585131717856
"0136448",0.426097444207115,0.557585131717856
"0120104",0.738319496668032,0.24634228062991
"0153376",0.903491669620702,0.0863169088975541
"0125816",0.490183486238532,0.50348623853211
"0124472",0.578609846917666,0.416011584609019
"0155848",0.31052007453837,0.685753006945621
"0123872",0.254013670322683,0.738833253854713
"0114008",0.739522307345651,0.254393871113114
"0181504",0.693344932579382,0.289412788168769
"0136088",0.836833046471601,0.156110154905336
"0128312",0.576209223847019,0.417604049493813
"0157024",0.836833046471601,0.156110154905336
"0155440",0.176659406167603,0.814857273873667
"0128432",0.897191088971911,0.0933997509339975
"0171976",0.761713728243328,0.22409029987509
"0126200",0.572690395184507,0.416448573671814
"0153856",0.758653198653199,0.227878787878788
"0108248",0.623475310545944,0.368393012365757
"0154432",0.71282930779858,0.279119622695441
"0168016",0.836833046471601,0.156110154905336
"0133808",0.527707465843803,0.44815600178675
"0123176",0.897191088971911,0.0933997509339975
"0140672",0.572690395184507,0.416448573671814
"0148400",0.724642820954504,0.261931300030398
"0159232",0.576209223847019,0.417604049493813
"0159328",0.735076318573372,0.256914009369805
"0183400",0.789794223493587,0.203285041985789
"0148424",0.248428354649902,0.747019293301539
"0169240",0.552745080911096,0.433895306938045
"0143336",0.426097444207115,0.557585131717856
"0112496",0.534389070020183,0.460487501940692
"0132848",0.88397189831245,0.105960744549866
"0149072",0.426097444207115,0.557585131717856
"0126896",0.71541983355511,0.268725050181556
"0163288",0.744384847468991,0.242352497485753
"0133064",0.662712173754335,0.327797043256069
"0177616",0.183246073298429,0.813403141361257
"0101132",0.71282930779858,0.279119622695441
"0182992",0.88397189831245,0.105960744549866
"0132656",0.710582921058292,0.280275328027533
"0130736",0.578609846917666,0.416011584609019
"0121184",0.706430164814935,0.279752236155329
"0165412",0.426097444207115,0.557585131717856
"0105212",0.552745080911096,0.433895306938045
"0114152",0.688625116545937,0.299182385426379
"0150000",0.552745080911096,0.433895306938045
"0157648",0.724642820954504,0.261931300030398
"0169000",0.832205110847859,0.157260111694026
"0176200",0.739522307345651,0.254393871113114
"0174616",0.623475310545944,0.368393012365757
"0144536",0.26861741038771,0.727432333577176
"0118856",0.843677612753781,0.145830494617795
"0121448",0.735076318573372,0.256914009369805
"0132272",0.761713728243328,0.22409029987509
"0180256",0.572690395184507,0.416448573671814
"0145904",0.706430164814935,0.279752236155329
"0176944",0.426097444207115,0.557585131717856
"0142016",0.860336558003414,0.132021786846598
"0169120",0.30922525750112,0.6846171070309
"0118040",0.768635768199114,0.222194498159815
"0109208",0.683155248271527,0.309113764927718
"0128936",0.836833046471601,0.156110154905336
"0116264",0.557594213932242,0.438142367719833
"0107120",0.864726982861698,0.127142287764049
"0127616",0.843677612753781,0.145830494617795
"0113648",0.860336558003414,0.132021786846598
"0166408",0.895715528490648,0.0956937799043062
"0171496",0.738319496668032,0.24634228062991
"0131720",0.402676091895986,0.591643524362535
"0180352",0.688484396759704,0.298452425318243
"0171900",0.881221476189338,0.106998638025376
"0132536",0.88397189831245,0.105960744549866
"0128504",0.557594213932242,0.438142367719833
"0138248",0.71282930779858,0.279119622695441
"0159496",0.824932421688663,0.165845126411194
"0130160",0.735076318573372,0.256914009369805
"0147848",0.576209223847019,0.417604049493813
"0163576",0.824932421688663,0.165845126411194
"0133640",0.895715528490648,0.0956937799043062
"0177304",0.176659406167603,0.814857273873667
"0168736",0.832205110847859,0.157260111694026
"0109424",0.88397189831245,0.105960744549866
"0103724",0.534512264689104,0.457881726563986
"0105812",0.881221476189338,0.106998638025376
"0120008",0.735169388252498,0.252668778942237
"0177352",0.88397189831245,0.105960744549866
"0115640",0.534512264689104,0.457881726563986
"0129296",0.860336558003414,0.132021786846598
"0116312",0.566883289712993,0.418810717295835
"0164368",0.534389070020183,0.460487501940692
"0162328",0.714368023046453,0.270183651422398
"0173872",0.761713728243328,0.22409029987509
"0144608",0.761713728243328,0.22409029987509
"0143816",0.836833046471601,0.156110154905336
"0143888",0.895715528490648,0.0956937799043062
"0179944",0.426097444207115,0.557585131717856
"0155752",0.623475310545944,0.368393012365757
"0117176",0.735169388252498,0.252668778942237
"0103556",0.836833046471601,0.156110154905336
"0103364",0.706430164814935,0.279752236155329
"0163984",0.744384847468991,0.242352497485753
"0109400",0.426097444207115,0.557585131717856
"0137312",0.843677612753781,0.145830494617795
"0155044",0.768635768199114,0.222194498159815
"0102260",0.703564537422565,0.277688636132832
"0141368",0.832205110847859,0.157260111694026
"0131912",0.575252951096121,0.41789629005059
"0128672",0.843677612753781,0.145830494617795
"0152848",0.623475310545944,0.368393012365757
"0132080",0.557594213932242,0.438142367719833
"0124808",0.534389070020183,0.460487501940692
"0170128",0.176659406167603,0.814857273873667
