"","PlaceNum","Rank","AirportNum","TravelTime"
"159",53,"V3",209,141.92
"160",54,"V1",131,208.905
"161",54,"V2",64,221.813333333333
"162",54,"V3",63,64.5316666666667
"163",55,"V1",131,222.376666666667
"164",55,"V2",63,235.285
"165",55,"V3",64,75.2033333333333
"166",56,"V1",194,283.098333333333
"167",56,"V2",131,184.731666666667
"168",56,"V3",63,221.588333333333
"169",57,"V1",45,76.13
"170",57,"V2",49,128.13
"171",57,"V3",165,140.366666666667
"172",58,"V1",131,236.165
"173",58,"V2",63,130.106666666667
"174",58,"V3",194,259.868333333333
"175",59,"V1",38,52.8466666666667
"176",59,"V2",128,113.595
"177",59,"V3",132,106.866666666667
"178",60,"V1",38,88.405
"179",60,"V2",132,25.9433333333333
"180",60,"V3",37,67.5883333333333
"181",61,"V1",38,87.9916666666667
"182",61,"V2",132,29.1783333333333
"183",61,"V3",37,70.0866666666667
"184",62,"V1",128,118.965
"185",62,"V2",70,111.33
"186",62,"V3",38,86.4833333333333
"187",63,"V1",132,128.276666666667
"188",63,"V2",37,72.765
"189",63,"V3",211,122.698333333333
"190",64,"V1",38,90.585
"191",64,"V2",132,25.625
"192",64,"V3",37,70.3183333333333
"193",65,"V1",135,96.2116666666667
"194",65,"V2",134,67.2816666666667
"195",65,"V3",133,33.7683333333333
"196",66,"V1",136,100.361666666667
"197",66,"V2",133,43.615
"198",66,"V3",137,121.14
"199",67,"V1",134,71.815
"200",67,"V2",135,20.3133333333333
"201",67,"V3",39,63.3383333333333
"202",68,"V1",146,150.411666666667
"203",68,"V2",210,218.778333333333
"204",68,"V3",208,150.531666666667
"205",69,"V1",43,87.7383333333333
"206",69,"V2",145,124.36
"207",69,"V3",143,121.71
"208",70,"V1",42,48.83
"209",70,"V2",143,95.0616666666667
"210",70,"V3",141,97.9766666666667
"211",71,"V1",144,50.4766666666667
"212",71,"V2",141,82.815
"213",71,"V3",143,32.4333333333333
"214",72,"V1",146,125.22
"215",72,"V2",44,125.818333333333
"216",72,"V3",147,197.828333333333
"217",73,"V1",44,126.511666666667
"218",73,"V2",162,215.925
"219",73,"V3",146,117.083333333333
"220",74,"V1",162,218.405
"221",74,"V2",163,36.2283333333333
"222",74,"V3",161,93.54
"223",75,"V1",190,182.948333333333
"224",75,"V2",44,219.175
"225",75,"V3",147,95.71
"226",76,"V1",147,126.566666666667
"227",76,"V2",44,147.64
"228",76,"V3",121,44.235
"229",77,"V1",150,165.115
"230",77,"V2",136,108.548333333333
"231",77,"V3",134,22.9866666666667
"232",78,"V1",150,128.02
"233",78,"V2",149,108.451666666667
"234",78,"V3",89,84.8716666666667
"235",79,"V1",150,127.73
"236",79,"V2",69,173.946666666667
"237",79,"V3",136,104.21
"238",80,"V1",69,184.795
"239",80,"V2",150,59.955
"240",80,"V3",3,138.776666666667
"241",81,"V1",88,117.028333333333
"242",81,"V2",2,125.641666666667
"243",81,"V3",69,136.76
"244",82,"V1",148,148.831666666667
"245",82,"V2",91,52.695
"246",82,"V3",177,179.86
"247",83,"V1",69,161.888333333333
"248",83,"V2",128,211.901666666667
"249",83,"V3",70,191.321666666667
"250",84,"V1",49,95.0983333333333
"251",84,"V2",165,86.86
"252",84,"V3",45,98.7266666666667
"253",85,"V1",69,174.576666666667
"254",85,"V2",46,134.265
"255",85,"V3",128,216.011666666667
"256",86,"V1",45,67.0116666666667
"257",86,"V2",148,218.121666666667
"258",86,"V3",91,149.266666666667
"259",87,"V1",121,161.24
"260",87,"V2",125,134.975
"261",87,"V3",32,164.423333333333
"262",88,"V1",45,139.19
"263",88,"V2",32,64.8383333333333
"264",88,"V3",49,172.966666666667
"265",89,"V1",190,201.43
"266",89,"V2",165,191.211666666667
"267",89,"V3",49,197.186666666667
"268",90,"V1",189,297.618333333333
"269",90,"V2",16,381.68
"270",90,"V3",102,117.92
"271",91,"V1",165,172.926666666667
"272",91,"V2",49,139.32
"273",91,"V3",45,78.6583333333333
"274",92,"V1",16,145.256666666667
"275",92,"V2",102,227.393333333333
"276",92,"V3",104,266.593333333333
"277",93,"V1",165,167.075
"278",93,"V2",49,129.906666666667
"279",93,"V3",45,69.245
"280",94,"V1",165,183.328333333333
"281",94,"V2",49,118.241666666667
